symbol,ts_utc,side,qty,expected_px,filled_px,fee,spread_est,latency_ms,slippage_est,venue,notes
BTCUSDT,2026-02-16T00:00:01Z,BUY,0.015,50200.1,50201.2,0.3765,1.8,52,2.2,bybit_demo,W1
BTCUSDT,2026-02-16T00:00:03Z,SELL,0.012,50198.4,50197.6,0.3012,1.9,58,2.1,bybit_demo,W1
BTCUSDT,2026-02-16T00:00:06Z,BUY,0.022,50310.0,50312.7,0.5534,2.4,63,3.1,bybit_demo,W2
BTCUSDT,2026-02-16T00:00:09Z,SELL,0.019,50300.5,50297.9,0.4779,2.6,69,3.4,bybit_demo,W2
ETHUSDT,2026-02-16T00:00:01Z,BUY,0.35,2890.2,2890.8,0.3642,2.1,44,2.0,bybit_demo,W1
ETHUSDT,2026-02-16T00:00:04Z,SELL,0.28,2889.9,2889.2,0.2886,2.0,49,2.4,bybit_demo,W1
ETHUSDT,2026-02-16T00:00:07Z,BUY,0.42,2892.5,2893.8,0.4341,2.8,57,3.0,bybit_demo,W3
ETHUSDT,2026-02-16T00:00:11Z,SELL,0.31,2891.7,2890.4,0.3208,2.7,61,2.9,bybit_demo,W3
SOLUSDT,2026-02-16T00:00:02Z,BUY,12,118.22,118.29,0.5678,2.6,39,2.8,bybit_demo,W2
SOLUSDT,2026-02-16T00:00:08Z,SELL,10,118.05,117.98,0.4721,2.5,42,2.6,bybit_demo,W2
SOLUSDT,2026-02-16T00:00:12Z,BUY,9,118.44,118.55,0.4255,3.0,47,3.2,bybit_demo,W3
SOLUSDT,2026-02-16T00:00:14Z,SELL,8,118.31,118.20,0.3783,3.2,53,3.5,bybit_demo,W3
